0 0
0.025 0
0.05 0
0.075 0
0.1 0
0.125 0
0.15 0
0.175 0
0.2 0
0.225 0
0.25 0
0.275 0
0.3 0
0.325 0
0.35 0
0.375 0
0.4 0
0.425 0
0.45 0
0.475 0
0.5 1.51929
0.525 1.41656
0.55 1.28076
0.575 1.19112
0.6 1.10278
0.625 1.00993
0.65 0.94319
0.675 0.88236
0.7 0.82514
0.725 0.76121
0.75 0.70426
0.775 0.68893
0.8 0.62668
0.825 0.5883
0.85 0.56284
0.875 0.51415
0.9 0.50911
0.925 0.46933
0.95 0.45819
0.975 0.42191
1 0.41393
1.025 0.39622
1.05 0.38777
1.075 0.36752
1.1 0.36652
1.125 0.35381
1.15 0.33777
1.175 0.34801
1.2 0.35337
1.225 0.36085
1.25 0.3425
1.275 0.35889
1.3 0.36429
1.325 0.37426
1.35 0.39262
1.375 0.39955
1.4 0.42889
1.425 0.43502
1.45 0.46461
1.475 0.48557
1.5 0.50308
1.525 0.5459
1.55 0.54976
1.575 0.57206
1.6 0.58256
1.625 0.59604
1.65 0.58358
1.675 0.611
1.7 0.61717
1.725 0.59997
1.75 0.61888
1.775 0.6121
1.8 0.61624
1.825 0.59173
1.85 0.59552
1.875 0.58859
1.9 0.56687
1.925 0.5602
1.95 0.54481
1.975 0.51248
2 0.49272
2.025 0.47036
2.05 0.4365
2.075 0.41815
2.1 0.40599
2.125 0.39694
2.15 0.36538
2.175 0.35934
2.2 0.36822
2.225 0.35913
2.25 0.33195
2.275 0.35278
2.3 0.35298
2.325 0.34246
2.35 0.356
2.375 0.35775
2.4 0.37438
2.425 0.38085
2.45 0.40354
2.475 0.4144
2.5 0.42305
2.525 0.46314
2.55 0.47427
2.575 0.49527
2.6 0.52731
2.625 0.55171
2.65 0.60243
2.675 0.63551
2.7 0.64754
2.725 0.71575
2.75 0.77182
2.775 0.81639
2.8 0.84842
2.825 0.93396
2.85 1.02147
2.875 1.11323
2.9 1.21338
2.925 1.28342
2.95 1.41575
2.975 1.52978
3 0
3.025 0
3.05 0
3.075 0
3.1 0
3.125 0
3.15 0
3.175 0
3.2 0
3.225 0
3.25 0
3.275 0
3.3 0
3.325 0
3.35 0
3.375 0
3.4 0
3.425 0
3.45 0
3.475 0
