0.867262 0.422496
0.890291 0.980759
0.922834 1.63795
0.940675 2.32343
0.949293 2.78984
0.972959 3.08662
1.00271 2.88869
1.03282 2.54234
1.0532 2.18895
1.04903 1.89921
1.08383 1.63059
1.10894 1.33373
1.12392 1.19236
1.14879 0.994437
1.17851 0.810639
1.17875 0.711698
1.18385 0.619817
1.20852 0.506699
1.2674 0.365252
1.33597 0.252057
1.41412 0.209516
1.6286 0.272741
1.67235 0.336268
1.73556 0.420962
1.77898 0.618765
1.83693 0.858945
1.87533 1.11329
1.87997 1.21223
1.89909 1.37474
1.93787 1.47361
1.93763 1.57255
1.98618 1.66434
2.03531 1.52291
2.05038 1.3462
2.10922 1.21889
2.13894 1.03509
2.16871 0.830091
2.20804 0.702813
2.22814 0.462494
2.29202 0.271569
2.44838 0.165286
2.57516 0.186263
2.63842 0.249755
2.68213 0.327417
2.73556 0.419195
2.74992 0.532244
2.7741 0.617007
2.79829 0.70177
2.83175 0.984396
2.86546 1.16102
2.87956 1.38007
2.91781 1.69803
2.91738 1.8747
2.95075 2.19267
2.96438 2.60254
2.96895 2.72974
3.0123 2.95581
3.03721 2.74375
3.06265 2.31261
3.08854 1.69772
3.09518 0.976864
3.116 0.439724
3.13134 0.149945
